"","y","x","Ob","Sho_126","Mid_126","Long_126","Sho_245","Mid_245","Long_245","Sho_585","Mid_585","Long_585"
"1",-13.625,-76.125,30.5034327566528,191.6286767523,382.63350603,489.965860675,222.3213051755,400.830790916,866.69965379,142.699143624,591.29164509,1601.2225945
"2",-13.625,-76.375,29.0639293885803,193.2122178725,382.42771067,491.24771116,222.9906278195,400.312742559,867.11128655,143.5817522355,591.400068465,1601.17217045
"3",-13.875,-76.125,29.6471719032287,186.5485705315,369.74865351,482.91068947,215.6890194225,393.014460451,859.40140145,136.89468689845,587.807758885,1604.5960856
"4",-13.875,-76.375,29.2712589002991,186.6660185435,369.311670845,483.039324655,215.5635769565,392.2105920655,859.05288362,135.75049554855,588.34788059,1604.52468445
"5",-14.125,-76.375,28.2951381564331,184.372827812,358.37610169,474.717801915,214.600084935,386.050240052,850.70762718,126.55493647255,586.222814715,1606.00887
"6",-14.375,-75.875,27.3694455580139,189.4966104212,379.19816257,462.86782579,212.074684829,403.83270737475,854.124155285,132.381294821,591.36499776,1607.85927405
"7",-14.375,-76.125,25.1783803422547,186.25062811,359.199641965,463.41358529,211.56017635,382.14187182985,839.830869165,125.6339195884,585.579859395,1606.95647845
"8",-14.625,-75.875,22.457625475769,188.3708893401,381.18869494,456.828101245,203.7848331975,402.23926851215,861.650107125,143.3745609954,596.2803001,1597.7903505
"9",-14.875,-75.375,25.2525238819885,188.28068426,404.330086655,466.22085785,198.070764665,411.0011146925,862.182061095,145.35455277595,589.447708895,1567.4121305
"10",-14.875,-75.625,23.9841650447082,187.445437814,402.72204239,458.78385705,196.43708368535,409.837597136,864.166132095,144.8387439325,588.903317835,1574.81200985
"11",-15.125,-75.125,28.9799224319458,188.574833336,407.916004165,476.61067199,198.63797976,415.812757014,858.8633346,142.2153805484,588.68137261,1562.6891282
"12",-15.125,-75.375,28.1884440795898,189.849399028,405.179865755,466.33025682,199.4311259895,413.3160094525,860.417598435,142.45314245995,588.00338403,1566.9137631
"13",-15.375,-74.875,31.9087442459106,187.9800202395,418.92253013,483.114950415,196.1704979205,419.399538055,861.67504248,143.5162387852,592.175695925,1556.48470555
"14",-15.375,-75.125,32.5788782022095,189.1773933735,414.782149845,481.14199604,195.2277086185,418.481455727,861.94212799,142.30856405475,588.649102435,1559.8067743
"15",-15.375,-75.375,29.2289737667846,188.0238799725,402.366621245,467.75033907,197.758934698,412.8170015415,854.652994145,143.4266395828,584.29233118,1558.57206425
"16",-15.625,-74.375,33.8964397401429,189.6615873115,407.24716516,480.684510315,193.2394693225,410.820194875,855.840298095,146.08637739335,587.488333535,1538.02120485
"17",-15.625,-74.625,37.2384760926819,190.464437445,414.41567528,479.7999225,197.0636316295,413.97328747,858.609824245,145.6592432201,591.78453561,1545.2209916
"18",-15.625,-74.875,32.1163288850403,189.091601131,412.7938408,479.07530214,195.373413242,413.1518842,859.379018245,145.33298173335,589.992674385,1545.50884955
"19",-15.875,-74.125,35.0875623820495,185.6648302268,402.46413354,484.113058595,191.3311083695,403.53554617,850.96798383,144.87552788595,583.637628455,1525.1265002
"20",-15.875,-74.375,33.5446730763244,190.092366804,408.8759268,480.872611565,192.388186706,410.69670596,855.249949145,145.9295389798,586.275872195,1536.35759095
"21",-16.125,-73.625,30.4930042375183,180.076731822,390.462393035,490.1448372,183.1550067735,394.488937775,833.595490775,151.309610031,576.550861915,1496.97939815
"22",-16.125,-73.875,34.7284121836854,179.39986145465,385.003533745,483.576629845,183.312770474,386.455491405,841.6785097,148.566514834,576.49582185,1497.26166565
"23",-16.125,-74.125,35.7663871455383,181.9132322192,395.670753365,483.87535726,185.828626014,393.59900059,845.466516465,147.05745255345,579.281927615,1509.29301765
"24",-16.375,-73.125,31.8170526948547,179.1628291815,402.70799017,494.10255512,200.099635434,406.736212375,834.36414956,150.346099813,574.79539999,1497.8223936
"25",-16.375,-73.375,31.6611231373596,180.9744133795,391.455972095,490.99856456,189.5074083185,402.131399175,827.96928389,150.6531762345,573.76405144,1492.93509425
"26",-16.375,-73.625,33.0686324278259,180.30894963,386.08489794,491.25095167,187.020654567,395.25013121,833.063590235,151.671576773,575.5710691,1497.96646855
"27",-16.625,-72.375,33.0246847412109,180.412282938,420.04678187,505.503214235,217.7508182485,420.245753135,847.41462176,153.887546894,578.31445397,1505.69984535
"28",-16.625,-72.875,35.7216465008545,181.3112263495,410.85640192,496.52428389,206.715418892,415.55159797,837.966547725,153.265944495,578.54685891,1504.60953655
"29",-16.875,-72.125,36.8062352954101,179.218635213,424.5149410585,506.18775548,224.503521751,425.34236014,845.914944,165.436985056,582.66454442,1499.37659505
"30",-16.875,-72.375,37.1066656921387,179.1406692675,423.153767244,505.077425815,224.440606665,423.823940355,844.457881075,162.709419297,582.110699645,1502.78136315
"31",-17.125,-71.625,29.6883649349976,181.2901004295,411.23721082,505.736153765,225.74863308485,428.659828725,843.485809245,177.30847882,590.56742592,1492.0014674
